iter	RMSE
234	15.01948682
235	15.01677238
236	15.01606909
237	15.0124183
238	15.0112385
239	15.01039415
240	15.00949661
241	15.00831586
242	15.00650549
243	15.00447406
244	15.00374805
245	15.00300275
246	15.00197485
247	15.00116775
248	15.00060597
249	14.99911214
250	14.99771412
251	14.99641084
252	14.99540533
253	14.99450934
254	14.99244725
255	14.99138699
256	14.99014044
257	14.98849459
258	14.98782094
259	14.98694261
260	14.98528694
261	14.98216611
262	14.98123571
263	14.98049601
264	14.97978251
265	14.97895776
266	14.97812955
267	14.97621036
268	14.97487887
269	14.97406071
270	14.9729265
271	14.97164757
272	14.97091627
273	14.96979254
274	14.96906862
275	14.96780574
276	14.96702118
277	14.96612141
278	14.96495825
279	14.96394264
280	14.96258193
281	14.96115532
282	14.96027118
283	14.95952644
284	14.95811005
285	14.95747069
286	14.95652412
287	14.95593836
288	14.95361105
289	14.95186778
290	14.95057577
291	14.94979155
292	14.94851478
293	14.94624377
294	14.94505628
295	14.94407243
296	14.94341717
297	14.94277712
298	14.94160939
299	14.94050653
300	14.93978021
301	14.93888112
302	14.93833908
303	14.93773507
304	14.93646856
305	14.93553789
306	14.93437984
307	14.93353699
308	14.93279666
309	14.93101621
310	14.93044433
311	14.92957093
312	14.92805662
313	14.92672543
314	14.92609352
315	14.92572867
316	14.9249419
317	14.92385989
318	14.92307352
319	14.92183023
320	14.92091546
321	14.9198629
322	14.91837872
323	14.91758881
324	14.91637916
325	14.91553556
326	14.91393217
327	14.91322269
328	14.91163453
329	14.91082071
330	14.91027737
331	14.90912624
332	14.90872586
333	14.90770072
334	14.90677587
335	14.90594273
336	14.90512507
337	14.90388827
338	14.9027921
339	14.90193569
340	14.90117256
341	14.89980306
342	14.89887919
343	14.89806337
344	14.89725602
345	14.8960926
346	14.89537906
347	14.8944388
348	14.89364176
349	14.89269869
350	14.89206333
351	14.89152264
352	14.89074832
353	14.89007672
354	14.88909861
355	14.88811878
356	14.88713576
357	14.88604089
358	14.88439558
359	14.88388778
360	14.88329694
361	14.88281834
362	14.88156725
363	14.88089119
364	14.88029904
365	14.87940696
366	14.87817298
367	14.87747247
368	14.87654904
369	14.87590898
370	14.87490457
371	14.87393129
372	14.87266183
373	14.8713693
374	14.87022813
375	14.86861919
376	14.86763526
377	14.8670371
378	14.86650838
379	14.86494867
380	14.86389985
381	14.86307731
382	14.86243557
383	14.86157672
384	14.86073577
385	14.85994443
386	14.85921107
387	14.85855859
388	14.85822204
389	14.85756443
390	14.85673176
391	14.85606067
392	14.85567737
393	14.85418979
394	14.8531039
395	14.85203449
396	14.8507362
397	14.8503416
398	14.84939738
399	14.84869691
400	14.8476253
401	14.84656586
402	14.8458594
403	14.84471402
404	14.84346641
405	14.84213796
406	14.84127374
407	14.8404408
408	14.83992771
409	14.83926595
410	14.83816453
411	14.83682221
412	14.83610404
413	14.8350746
414	14.8345684
415	14.8333047
416	14.83222276
417	14.83136602
418	14.83058046
419	14.82973783
420	14.82848241
421	14.82723636
422	14.82660854
423	14.82560258
424	14.82453889
425	14.82370018
426	14.82275808
427	14.82176705
428	14.82135249
429	14.82051926
430	14.81924898
431	14.81834386
432	14.81765244
433	14.81673873
434	14.81610394
435	14.81516366
436	14.81434741
437	14.81312097
438	14.81236689
439	14.81142461
440	14.8105011
441	14.80997165
442	14.80913645
443	14.80888273
444	14.80814405
445	14.80747569
446	14.80640518
447	14.80544439
448	14.80463445
449	14.80403468
450	14.80307768
451	14.80252899
452	14.80165558
453	14.80069266
454	14.79965921
455	14.79879395
456	14.79767971
457	14.79713083
458	14.79630402
459	14.7945052
460	14.79367826
461	14.79301949
462	14.79194944
463	14.79097651
464	14.78999389
465	14.7893396
466	14.78818692
467	14.78732158
468	14.78632872
469	14.7856224
470	14.78439336
471	14.7840212
472	14.78319812
473	14.7820823
474	14.78145229
475	14.78080096
476	14.78022309
477	14.77940599
478	14.77855057
479	14.77799041
480	14.77695472
481	14.77606697
482	14.77509057
483	14.77414709
484	14.77342033
485	14.77278864
486	14.77140449
487	14.77088939
488	14.76996091
489	14.76912525
490	14.76827864
491	14.7674839
492	14.7664285
493	14.76599395
494	14.76520166
495	14.76424742
496	14.76361948
497	14.76277215
498	14.76141402
499	14.76066745
