iter	RMSE
0	32.54833117
1	31.42388465
2	30.39165857
3	29.40793648
4	28.47638485
5	27.63673395
6	26.83297108
7	26.06933557
8	25.36549854
9	24.70440237
10	24.10842677
11	23.52842312
12	22.9955602
13	22.50125321
14	22.0370905
15	21.60132036
16	21.1991342
17	20.82932451
18	20.4793716
19	20.16081578
20	19.86878972
21	19.58503202
22	19.32421243
23	19.08932952
24	18.87018115
25	18.66541956
26	18.47501218
27	18.2993211
28	18.12810123
29	17.97696112
30	17.83850667
31	17.7028673
32	17.57709102
33	17.4484392
34	17.34274107
35	17.24446459
36	17.15001663
37	17.05806533
38	16.97190581
39	16.89214475
40	16.81714615
41	16.7449077
42	16.67642733
43	16.61131235
44	16.54981146
45	16.49381939
46	16.43317804
47	16.38342132
48	16.33546456
49	16.28912833
50	16.24236786
51	16.20145826
52	16.16047428
53	16.12425893
54	16.08908091
55	16.05586747
56	16.02191871
57	15.9926068
58	15.96194413
59	15.92979138
60	15.90331147
61	15.87906467
62	15.84954556
63	15.82552468
64	15.80387852
65	15.78417451
66	15.76090819
67	15.73925291
68	15.71965951
69	15.69762984
70	15.68081773
71	15.66368306
72	15.6453233
73	15.62976464
74	15.61274132
75	15.59717246
76	15.58478708
77	15.57102268
78	15.55655392
79	15.54423364
80	15.53217937
81	15.51953717
82	15.50676854
83	15.49498046
84	15.48168078
85	15.47271234
86	15.46413755
87	15.45387946
88	15.44575286
89	15.43609671
90	15.42627736
91	15.41614559
92	15.40846534
93	15.39865534
94	15.38955362
95	15.38059073
96	15.37294153
97	15.36454172
98	15.35870617
99	15.35008419
100	15.34338733
101	15.33835886
102	15.33414419
103	15.32886753
104	15.32306448
105	15.31625055
106	15.3104699
107	15.30535665
108	15.30103308
109	15.29507524
110	15.28815413
111	15.2837777
112	15.28044155
113	15.27763835
114	15.27426981
115	15.27086792
116	15.26722873
117	15.26421593
118	15.25641193
119	15.25397949
120	15.24980272
121	15.24180783
122	15.23945342
123	15.23591995
124	15.23153992
125	15.22859328
126	15.22518663
127	15.22019685
128	15.21309697
129	15.21028111
130	15.20768181
131	15.20123261
132	15.19861663
133	15.1965387
134	15.19287074
135	15.18867998
136	15.18666531
137	15.18447828
138	15.18194646
139	15.17710872
140	15.1722584
141	15.17058595
142	15.16883714
143	15.16727084
144	15.16373287
145	15.16190452
146	15.15947981
147	15.15822215
148	15.15642117
149	15.15182684
150	15.14994806
151	15.14627924
152	15.14466055
153	15.14339501
154	15.13859576
155	15.13738154
156	15.13616642
157	15.1341196
158	15.13283941
159	15.13114718
160	15.12961009
161	15.12524248
162	15.12209366
163	15.11848983
164	15.11738687
165	15.11605149
166	15.11520899
167	15.11419896
168	15.11299172
169	15.10905382
170	15.10655753
171	15.10529442
172	15.1042254
173	15.10306472
174	15.1019981
175	15.10128997
176	15.0982937
177	15.09704158
178	15.09624461
179	15.09514196
180	15.09353412
181	15.09242892
182	15.08932065
183	15.08819694
184	15.08705223
185	15.0861125
186	15.08505331
187	15.08234342
188	15.07900861
189	15.07792818
190	15.07722408
191	15.07557682
192	15.07455877
193	15.07231524
194	15.07156869
195	15.07092708
196	15.06833578
197	15.067614
198	15.06660398
199	15.06597469
200	15.06491429
201	15.06298657
202	15.06226006
203	15.06046066
204	15.05819201
205	15.05756564
206	15.05690474
207	15.05620932
208	15.05425166
209	15.05358161
210	15.0529293
211	15.05218321
212	15.05147479
213	15.04833654
214	15.04616847
215	15.04519585
216	15.04391359
217	15.04254264
218	15.04131096
219	15.04035852
220	15.03835225
221	15.03741132
222	15.03542891
223	15.03433192
224	15.03307471
225	15.03192035
226	15.03047159
227	15.0291966
228	15.02715037
229	15.02619583
230	15.02527703
231	15.02272487
232	15.02201663
233	15.02091566
